"ID","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","CITY","STATE","ZIP","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","SOURCE","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","TARGET"
3680,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",2,2.5,"1060 Brickell Condo",1288,NA,2008,84,317,827,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3681,"MLS Listing",NA,"Condo/Co-op","Orlando","FL","32839",2,2,"Orlando",1062,10123,2000,131,92,215,"Active","","","MFRMLS","N","Y","28.5"," -81.4","FALSE"
3682,"MLS Listing",NA,"Vacant Land","Baltimore","MD","21224",NA,NA,"Broening Manor",NA,3125,NA,1581,NA,NA,"Active","","","MRIS","N","Y","39.3"," -76.5","FALSE"
3683,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",NA,1,"The Bond",506,NA,2016,118,672,NA,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3684,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",1,1.5,"Jade Residences",1135,NA,2004,146,678,930,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3685,"MLS Listing",NA,"Vacant Land","Atlanta","GA","30311",0,NA,"Atlanta",NA,525769,1900,47,NA,NA,"Active","","","FMLS","N","Y","33.7"," -84.5","TRUE"
3686,"MLS Listing",NA,"Single Family Residential","Ladera Ranch","CA","92694",5,4.5,"LD - Ladera Ranch",3804,6486,2006,6,355,400,"Active","March-11-2018 01:00 PM","March-11-2018 04:00 PM","CRMLS","N","Y","33.5","-117.6","TRUE"
3687,"MLS Listing",NA,"Condo/Co-op","Bayside","NY","11360",1,1,"Water's Edge",NA,NA,1970,110,NA,NA,"Active","","","MLSLI","N","Y","40.8"," -73.8","TRUE"
3688,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30310",2,1,"Pittsburgh",NA,5000,1949,129,NA,NA,"Active","","","FMLS","N","Y","33.7"," -84.4","FALSE"
3689,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30318",2,1,"Whittier Mill Village",1568,5314,1890,32,166,NA,"Active","","","GAMLS","N","Y","33.8"," -84.5","FALSE"
3690,"MLS Listing",NA,"Condo/Co-op","Orlando","FL","32835",3,2,"Orlando",1810,20395,2005,132,135,415,"Active","","","MFRMLS","N","Y","28.5"," -81.5","FALSE"
3691,"MLS Listing",NA,"Single Family Residential","Orlando","FL","32818",3,2,"Orlando",1849,11900,1986,20,155,NA,"Active","","","MFRMLS","N","Y","28.6"," -81.5","FALSE"
